Country/Region,Province/State,density,mostdensecity
Australia,From Diamond Princess,26604.0,-
Canada,Grand Princess,26604.0,-
China,Hong Kong,6659.0,-
China,Macau,21340.0,-
Cruise Ship,Diamond Princess,26604.0,-
Denmark,Faroe Islands,34.0,-
Eswatini,,67.0,-
France,French Guiana,4.0,-
France,Guadeloupe,237.0,-
France,Mayotte,728.0,-
France,Reunion,330.0,-
France,Saint Barthelemy,470.0,-
France,St Martin,730.0,-
Guam,,320.0,-
Holy See,,2003.0,-
Netherlands,Aruba,575.0,-
Netherlands,Curacao,370.0,-
Republic of the Congo,,16.0,-
US,Diamond Princess,26604.0,-
US,Grand Princess,26604.0,-
US,Guam,320.0,-
US,US,36.0,-
United Kingdom,Cayman Islands,274.0,-
United Kingdom,Channel Islands,915.0,-
United Kingdom,Gibraltar,4959.0,-
United Kingdom,Montserrat,50.0,-
Kosovo,,421.9,Pristina
Mayotte,,2073.3,Pamandzi
South Africa,,21712.5,Johannesburg
Zambia,,5364.4,Lusaka
Kazakhstan,,5422.7,Almaty
Lebanon,,56356.5,Beirut
Saint Lucia,,5685.3,Castries
Liechtenstein,,330.1,Vaduz
Sri Lanka,,5122.1,Colombo
Liberia,,5465.8,Monrovia
Lithuania,,1204.2,Vilnius
Luxembourg,,3071.1,Luxembourg
Latvia,,2737.8,Riga
Morocco,,8341.7,Fès
Monaco,,9127.3,Monaco
Moldova,,1219.7,Chisinau
Montenegro,,147.8,Podgorica
North Macedonia,,1123.1,Skopje
Mongolia,,291.7,Ulaanbaatar
Martinique,,1959.0,Fort-de-France
Mauritania,,4215.9,Nouakchott
Malta,,6003.8,Valletta
Mauritius,,2747.3,Port Louis
Maldives,,56774.3,Male
Mexico,,21873.8,Ciudad Nezahualcóyotl
Malaysia,,8087.5,George Town
Namibia,,873.1,Windhoek
Nigeria,,41760.2,Kano
Netherlands,Netherlands,6149.8,The Hague
Norway,,1449.2,Oslo
Nepal,,36896.9,Kathmandu
New Zealand,,17529.1,Auckland
Oman,,105.3,Muscat
Panama,,36190.2,Panama City
Peru,,23044.0,Lima
France,French Polynesia,1426.5,Papeete
Philippines,,49045.1,Manila
Pakistan,,28305.8,Hyderabad City
Poland,,7080.9,Warsaw
Portugal,,11142.8,Lisbon
Paraguay,,4359.1,Asunción
Qatar,,1771.8,Doha
Reunion,,2537.3,Le Port
Romania,,10810.1,Bucharest
Serbia,,3935.7,Belgrade
Russia,,11875.0,Moscow
Rwanda,,4421.7,Kigali
Saudi Arabia,,1195.5,Jeddah
Seychelles,,1371.5,Victoria
Sudan,,4920.8,Khartoum
Sweden,,8512.5,Stockholm
Singapore,,2012.7,Singapore
Slovenia,,1776.1,Ljubljana
Slovakia,,3974.6,Bratislava
San Marino,,647.6,San Marino
Senegal,,13902.8,Dakar
Somalia,,5498.3,Mogadishu
Suriname,,1155.4,Paramaribo
Togo,,6339.5,Lomé
Thailand,,17677.4,Bangkok
Tunisia,,9542.2,Tunis
Turkey,,20345.3,Istanbul
Trinidad and Tobago,,2811.5,Port of Spain
Taiwan*,,21559.9,Taichung
Tanzania,,5686.2,Dar es Salaam
Ukraine,,4928.6,Kharkiv
Uruguay,,9274.6,Montevideo
Uzbekistan,,180.4,Tashkent
Saint Vincent and the Grenadines,,0.0,Kingstown
Venezuela,,16577.5,Caracas
Vietnam,,36912.1,Hanoi
Andorra,,2111.2,Andorra la Vella
United Arab Emirates,,642.7,Dubai
Afghanistan,,9953.6,Kabul
Antigua and Barbuda,,2630.3,Saint John’s
Albania,,11348.5,Tirana
Armenia,,9531.8,Yerevan
Argentina,,18840.5,Buenos Aires
Austria,,4399.1,Vienna
Australia,New South Wales,3824.3,Sydney
Australia,Queensland,2023.5,Brisbane
Australia,South Australia,1866.6,Adelaide
Australia,Western Australia,1914.7,Perth
Australia,Victoria,7983.7,Melbourne
Australia,Australian Capital Territory,2677.3,Canberra
Australia,Tasmania,2138.6,New Town
Australia,Northern Territory,2541.0,Darwin
Aruba,,927.3,Oranjestad
Azerbaijan,,7616.1,Baku
Bosnia and Herzegovina,,2086.4,Sarajevo
Barbados,,2132.2,Bridgetown
Bangladesh,,142797.6,Dhaka
Belgium,,21796.1,Brussels
Burkina Faso,,5208.7,Ouagadougou
Bulgaria,,1013.3,Sofia
Bahrain,,14749.6,Manama
Benin,,16753.6,Cotonou
Brunei,,637.3,Bandar Seri Begawan
Bolivia,,1244.7,Santa Cruz
Brazil,,25901.8,Vila Velha
The Bahamas,,1213.7,Nassau
Bhutan,,11.2,Thimphu
Belarus,,9196.9,Minsk
Canada,Manitoba,3834.3,Winnipeg
Canada,Ontario,11165.9,Ottawa
Canada,British Columbia,2466.0,Vancouver
Canada,Quebec,20207.3,Montréal
Canada,Saskatchewan,5731.9,Regina
Canada,Newfoundland and Labrador,0.0,Saint John’s
Canada,Nova Scotia,7059.3,Halifax
Canada,Alberta,4129.2,Edmonton
Canada,New Brunswick,3867.3,Moncton
Canada,Prince Edward Island,3078.0,Charlottetown
Congo (Kinshasa),,30280.3,Kinshasa
Central African Republic,,1357.6,Bangui
Congo (Brazzaville),,10031.7,Brazzaville
Switzerland,,12833.2,Geneva
Cote d'Ivoire,,3559.7,Abidjan
Chile,,6478.2,Santiago
Cameroon,,12268.9,Yaoundé
China,Jiangsu,53108.1,Nanjing
China,Anhui,79184.8,Suzhou
China,Guizhou,36324.7,Guiyang
China,Jiangxi,32150.2,Nanchang
China,Hunan,33756.3,Changsha
China,Zhejiang,26861.9,Huzhou
China,Hubei,44001.9,Wuhan
China,Guangdong,41947.9,Guangzhou
China,Gansu,8900.5,Lanzhou
China,Shanxi,44550.9,Taiyuan
China,Shanghai,14681.7,Shanghai
China,Tianjin,15598.7,Tianjin
China,Sichuan,76448.1,Chengdu
China,Beijing,35522.2,Beijing
China,Shaanxi,88818.4,Xi’an
China,Shandong,69649.0,Jining
China,Hebei,19671.0,Tangshan
China,Liaoning,46512.8,Shenyang
China,Yunnan,127723.0,Kunming
China,Guangxi,25219.2,Nanning
China,Jilin,51205.0,Jilin
China,Henan,13072.2,Zhengzhou
China,Tibet,3412.4,Jibenggang
China,Chongqing,17210.2,Chongqing
China,Fujian,35029.7,Zhangzhou
China,Xinjiang,42517.9,Ürümqi
China,Qinghai,19382.2,Xining
China,Ningxia,38604.2,Shuangzhuang
China,Heilongjiang,12153.2,Harbin
China,Hainan,6659.8,Haikou
China,Inner Mongolia,48412.5,Baotou
Colombia,,9167.4,Barranquilla
Costa Rica,,5197.9,San José
Cuba,,9734.1,Havana
Cyprus,,1162.3,Nicosia
Czechia,,2650.2,Prague
Germany,,4599.6,Munich
Djibouti,,3070.9,Djibouti
Denmark,Denmark,10122.8,Copenhagen
Dominican Republic,,11959.1,Santo Domingo
Algeria,,26238.4,Algiers
Ecuador,,4848.1,Quito
Estonia,,3232.1,Tallinn
Egypt,,35763.1,Giza
Spain,,17073.0,Barcelona
Ethiopia,,21563.0,Addis Ababa
Finland,,3123.6,Helsinki
France,France,24351.3,Marseille
Gabon,,2848.4,Libreville
United Kingdom,United Kingdom,5373.6,Sheffield
Georgia,,5070.2,Tbilisi
French Guiana,,2454.8,Eau Coulie
Guernsey,,917.5,King’s Mills
Ghana,,13585.8,Accra
Greenland,,424.0,Qaqortoq
"Gambia, The",,16427.4,Banjul
The Gambia,,16427.4,Banjul
Guinea,,1600.9,Conakry
Guadeloupe,,5136.8,Pointe-à-Pitre
Equatorial Guinea,,5581.0,Malabo
Greece,,16879.2,Athens
Guatemala,,7684.3,Guatemala City
Guyana,,3636.4,Georgetown
Honduras,,9121.7,Tegucigalpa
Croatia,,1249.1,Zagreb
Hungary,,11276.3,Budapest
Indonesia,,22276.5,Bandung
Ireland,,6393.9,Dublin
Israel,,5639.3,Tel Aviv-Yafo
India,,41890.7,Mumbai
Iraq,,8051.2,Baghdad
Iran,,5185.7,Tehran
Iceland,,444.2,Reykjavík
Italy,,7814.7,Naples
Jersey,,3504.1,Ville ès Nouaux
Jamaica,,1320.6,Kingston
Jordan,,12474.0,Amman
Japan,,13015.4,Ōsaka
Kenya,,2112.1,Nairobi
Kyrgyzstan,,17617.4,Bishkek
Cambodia,,31013.2,Phnom Penh
"Korea, South",,16775.5,Incheon
Kuwait,,7242.9,Kuwait City
Puerto Rico,,11907.4,Santa Teresita
US,Puerto Rico,11907.4,Santa Teresita
US,Washington,3336.0,Seattle
US,Delaware,6269.3,Cleland Heights
US,District of Columbia,4382.0,Washington
US,Wisconsin,2389.0,Milwaukee
US,West Virginia,3681.3,West Side
US,Hawaii,15989.1,Mōʻiliʻili
US,Florida,4969.0,Miami
US,Wyoming,862.0,Cheyenne
US,New Hampshire,2531.5,Cluffs Crossing
US,New Jersey,23394.0,Guttenberg
US,New Mexico,4044.0,Morningside
US,Texas,1524.0,Dallas
US,Louisiana,896.0,New Orleans
US,Alaska,3458.4,Homesite Park
US,North Carolina,1235.0,Raleigh
US,North Dakota,2446.6,Calspur
US,Nebraska,2256.4,Beechwood
US,Tennessee,793.0,Memphis
US,New York,27799.0,Manhattan
US,Pennsylvania,4547.0,Philadelphia
US,Rhode Island,3783.0,Providence
US,Nevada,1747.0,Las Vegas
US,Virginia,1463.0,Richmond
US,Colorado,1774.0,Denver
US,California,7286.0,San Francisco
US,Alabama,2973.9,Normal
US,Arkansas,643.0,Little Rock
US,Vermont,2428.3,Northfield Center
US,Illinois,4612.0,Chicago
US,Georgia,1384.0,Atlanta
US,Indiana,921.0,Indianapolis
US,Iowa,1143.0,Iowa City
US,Massachusetts,5472.0,Boston
US,Arizona,1212.0,Phoenix
US,Idaho,2585.1,Ustick
US,Connecticut,3523.0,Bridgeport
US,Maine,4497.9,Munjoy Hill
US,Maryland,2917.0,Baltimore
US,Oklahoma,785.0,Tulsa
US,Ohio,1915.0,Cleveland
US,Utah,696.0,Salt Lake City
US,Missouri,1929.0,St. Louis
US,Minnesota,3019.0,Minneapolis
US,Michigan,1873.0,Detroit
US,Kansas,2386.0,Westwood Hills
US,Montana,962.0,Billings
US,Mississippi,2462.0,University
US,South Carolina,2427.6,Tranquil Acres
US,Kentucky,910.0,Louisville
US,Oregon,1874.0,Portland
US,South Dakota,881.0,Sioux Falls
US,United States Virgin Islands,1878.9,Frenchtown
US,Virgin Islands,1878.9,Frenchtown
